Date,Product,Sales,Revenue,Notes
1/9/2022,Keyboard,,,
1/19/2022,,5,,
1/4/2022,,,,
1/16/2022,Monitor,1,79,
1/6/2022,Phone,13,1378,
1/16/2022,Phone,4,660,
1/27/2022,Laptop,12,1128,
1/19/2022,Monitor,14,798,
1/10/2022,Phone,2,394,
1/9/2022,Laptop,5,305,
1/23/2022,Keyboard,4,364,
,Phone,14,,
1/5/2022,Keyboard,11,1694,
1/15/2022,Monitor,,638,
1/5/2022,Tablet,20,2080,
1/9/2022,Keyboard,6,990,
1/19/2022,Keyboard,5,280,
1/4/2022,Tablet,5,360,
1/13/2022,Laptop;,16,2592,
1/3/2022,Phone;,5,565,
1/29/2022,Keyboard;,6,,
