Date,Product,Sales,Revenue,Metadata
1/8/2024,,16,1600,
1/26/2024,Laptop,20,2120,
1/11/2024,Phone,2,174,
1/20/2024,Phone,3,,
1/23/2024,Phone,8,496,
1/20/2024,Laptop,,1260,
,Phone,18,,
1/23/2024,Laptop,19,,
1/11/2024,Tablet,18,1656,
1/31/2024,Monitor,,,
1/8/2024,Phone,4,612,Laptop
,Tablet,2,342,
1/8/2024,Laptop,4,404,
1/13/2024,Tablet,9,1170,
1/13/2024,Phone,9,594,
1/8/2024,Monitor,16,1600,
1/26/2024,Laptop,20,2120,
1/11/2024,Phone,2,174,
1/23/2024,Tablet;,20,,
1/26/2024,Tablet;,18,1818,
,Tablet;,12,2244,
